City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Mogwase,ZA,2020-05-08 18:59:06,-25.18,27.27,63.93,43,2,2.06
273,Solhan,TR,2020-05-08 18:59:06,38.96,41.03,50.76,74,90,5.79
274,Geraldton,AU,2020-05-08 18:59:06,-28.77,114.6,51.8,76,0,9.17
275,Arlit,NE,2020-05-08 18:59:06,18.74,7.39,93.33,9,0,8.95
276,Bilibino,RU,2020-05-08 18:59:07,68.05,166.44,24.13,92,0,3.4
277,Colquechaca,BO,2020-05-08 18:59:07,-18.67,-66.02,47.41,50,0,5.44
278,La Ronge,CA,2020-05-08 18:59:07,55.1,-105.28,41.0,48,90,4.7
279,Bakau,GM,2020-05-08 18:59:07,13.48,-16.68,78.8,69,87,16.11
280,General Roca,AR,2020-05-08 18:59:07,-39.03,-67.58,68.0,37,100,2.24
281,Vredendal,ZA,2020-05-08 18:59:07,-31.67,18.5,67.73,37,0,5.26
282,Yermekeyevo,RU,2020-05-08 18:59:07,54.08,53.67,59.63,46,52,5.82
283,Yerbogachen,RU,2020-05-08 18:59:07,61.28,108.01,28.54,84,0,2.35
284,San Vicente De Canete,PE,2020-05-08 18:59:07,-13.08,-76.38,72.79,68,98,7.74
285,Ampanihy,MG,2020-05-08 18:59:07,-24.7,44.75,64.49,84,27,10.56
286,Palmer,US,2020-05-08 18:59:07,42.16,-72.33,55.4,20,90,12.75
287,Cabungan,PH,2020-05-08 18:59:07,16.34,120.0,84.45,77,67,5.48
288,Saint-Augustin,CA,2020-05-08 18:59:07,51.23,-58.65,35.02,98,100,3.0
289,Balkanabat,TM,2020-05-08 18:59:08,39.51,54.37,62.11,77,44,9.51
290,Det Udom,TH,2020-05-08 18:59:08,14.91,105.08,87.8,74,100,3.36
291,Alekseyevsk,RU,2020-05-08 18:59:08,57.84,108.35,31.24,82,0,1.81
292,Iqaluit,CA,2020-05-08 18:59:08,63.75,-68.51,33.8,47,75,11.41
293,Cap Malheureux,MU,2020-05-08 18:59:08,-19.98,57.61,73.4,94,20,4.7
294,Manaus,BR,2020-05-08 18:59:08,-3.1,-60.02,86.0,79,75,4.7
295,Meulaboh,ID,2020-05-08 18:59:08,4.14,96.13,75.2,93,100,3.65
296,Alice Springs,AU,2020-05-08 18:59:08,-23.7,133.88,60.8,34,0,8.05
297,Mont-Dore,NC,2020-05-08 18:59:08,-22.28,166.58,66.2,93,40,4.7
298,Port Hedland,AU,2020-05-08 18:59:08,-20.32,118.57,71.6,78,20,10.29
299,Bembereke,BJ,2020-05-08 18:59:09,10.23,2.66,85.96,48,64,4.9
300,Dubai,AE,2020-05-08 18:59:09,25.26,55.3,84.2,51,13,8.05
301,Brae,GB,2020-05-08 18:59:09,60.4,-1.35,48.2,87,99,12.75
302,Port Moresby,PG,2020-05-08 18:57:31,-9.44,147.18,75.45,89,32,6.33
303,Arteaga,MX,2020-05-08 18:59:09,18.47,-102.42,94.96,20,23,4.12
304,Porto Velho,BR,2020-05-08 18:58:42,-8.76,-63.9,78.8,69,40,4.7
305,Kyren,RU,2020-05-08 18:59:09,51.68,102.14,34.39,86,38,1.66
306,Atar,MR,2020-05-08 18:59:09,20.52,-13.05,105.8,19,0,9.17
