City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
314,Katsuura,JP,77.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
315,Yinchuan,CN,55.99,clear sky,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
316,Puerto Escondido,MX,86.0,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
320,Odiongan,PH,85.77,overcast clouds,12.4,121.99,LFH Suite Promenade
321,Waingapu,ID,80.82,few clouds,-9.66,120.26,Pondok Wisata Elim
323,Progreso,MX,86.0,few clouds,21.28,-89.67,Playa Linda Hotel
325,Chimbote,PE,67.87,scattered clouds,-9.09,-78.58,Hotel Briliá
328,Toora-Khem,RU,51.49,clear sky,52.47,96.11,
329,Prachuap Khiri Khan,TH,82.98,overcast clouds,11.82,99.78,โรงแรมวราวรรณ รีสอร์ท Warawan resort&hotel
331,Huntington,US,57.99,clear sky,38.42,-82.45,Delta Hotels by Marriott Huntington Downtown
332,Port Hardy,CA,75.2,scattered clouds,50.7,-127.42,Airport Inn
333,Ibra,OM,76.98,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
334,Matara,LK,80.15,overcast clouds,5.95,80.54,Amaloh Boutique Resort
336,Erenhot,CN,53.1,broken clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
337,Hamilton,US,55.4,broken clouds,39.18,-84.53,Six Acres Bed & Breakfast
338,Bajil,YE,89.85,clear sky,15.06,43.29,فندق الصقر السياحي
339,Pangkalanbuun,ID,79.88,scattered clouds,-2.68,111.62,Grand Kecubung Hotel
340,Itarema,BR,76.26,overcast clouds,-2.92,-39.92,Windvillage
341,Antsohihy,MG,73.56,clear sky,-14.88,47.99,Hotel de Ville
343,Englewood,US,64.99,scattered clouds,39.65,-104.99,InTown Suites Extended Stay Denver CO - Englewood
344,Sergeyevka,KZ,61.03,scattered clouds,53.88,67.42,
345,Ranong,TH,78.8,few clouds,9.97,98.63,Tinidee Hotel@Ranong
346,Gornopravdinsk,RU,60.26,overcast clouds,60.05,69.9,
347,Noumea,NC,78.8,few clouds,-22.28,166.46,Hôtel Le Lagon
348,Westport,US,60.01,clear sky,41.14,-73.36,The Westport Inn
350,Mangai,CD,69.73,overcast clouds,-4.05,19.53,
351,Lakes Entrance,AU,57.99,clear sky,-37.88,147.98,The Esplanade Resort & Spa
352,Sal Rei,CV,71.6,broken clouds,16.18,-22.92,Marine Club Beach Resort
353,Muros,ES,53.01,clear sky,42.78,-9.06,Apartment Av. Castelao
354,Atar,MR,83.68,few clouds,20.52,-13.05,Oumou Elghoura
356,Chenove,FR,59.0,light rain,47.29,5.0,Novotel Dijon Route des Grands Crus
358,Georgiyevka,KZ,57.2,clear sky,43.04,74.71,Gostinitsa Dostyk 1 U Zheni
359,Arlit,NE,88.39,few clouds,18.74,7.39,Hôtel Telwa Bungalow
360,Viedma,AR,58.78,clear sky,-40.81,-63.0,Hotel Cristal
361,Waipawa,NZ,64.4,overcast clouds,-41.41,175.52,Tora Coastal Walk
362,Bondo,CD,70.43,broken clouds,3.81,23.69,
364,Badvel,IN,78.6,clear sky,14.75,79.05,R&B Bungalow
365,Cabra,ES,57.0,overcast clouds,37.47,-4.44,MS Fuente Las Piedras
366,Salalah,OM,84.2,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
367,Yulara,AU,53.6,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
368,Nemuro,JP,59.0,scattered clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
371,Fortuna,US,66.99,few clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
372,Claveria,PH,85.06,clear sky,18.61,121.08,
373,Sarakhs,IR,69.8,clear sky,36.54,61.16,Sarakhs Abrisham Hotel
375,Villazon,BO,59.16,broken clouds,-22.09,-65.59,La Candelaria
376,Camacha,PT,66.2,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
377,Mersing,MY,75.2,overcast clouds,2.43,103.84,Timotel Hotel
378,Panguipulli,CL,50.0,scattered clouds,-39.63,-72.33,Cabañas Mis Viejos
